region,subregion,year,forecast_stunting,slope_pp_per_year,trend_r2
Adamawa,Adamawa,2026,37.3540071237756,-0.10814781834372235,0.27318120918979505
Adamawa,Adamawa,2028,37.137711487088154,-0.10814781834372235,0.27318120918979505
Adamawa,Djerem,2026,25.411780647659043,-0.7792262382124389,0.9729399598471615
Adamawa,Djerem,2028,23.853328171234125,-0.7792262382124389,0.9729399598471615
Adamawa,Faro-et-Deo,2026,21.86879178179879,-0.8320148854621622,0.9913789722820275
Adamawa,Faro-et-Deo,2028,20.204762010874447,-0.8320148854621622,0.9913789722820275
Adamawa,Mayo-Banyo,2026,22.139593324381394,-0.8616247841933627,0.9864238816765808
Adamawa,Mayo-Banyo,2028,20.416343755994603,-0.8616247841933627,0.9864238816765808
Adamawa,Mbere,2026,25.697524922653656,-0.7412169130285323,0.9088042153728945
Adamawa,Mbere,2028,24.215091096596552,-0.7412169130285323,0.9088042153728945
Adamawa,Vina,2026,25.43587275563914,-0.7789010233492872,0.926964085297936
Adamawa,Vina,2028,23.878070708940413,-0.7789010233492872,0.926964085297936
Cameroon,12-17,2026,27.97195013357083,-0.14296527159394484,0.05942082001244686
Cameroon,12-17,2028,27.686019590382955,-0.14296527159394484,0.05942082001244686
Cameroon,18-23,2026,44.86812110418521,-0.08851291184327692,0.03793628594869658
Cameroon,18-23,2028,44.69109528049867,-0.08851291184327692,0.03793628594869658
Cameroon,24-35,2026,32.71549421193242,-0.4715048975957259,0.6610931901944523
Cameroon,24-35,2028,31.772484416740895,-0.4715048975957259,0.6610931901944523
Cameroon,24-47 months,2026,31.727426536064144,-0.119100623330365,0.13280290429709118
Cameroon,24-47 months,2028,31.489225289403407,-0.119100623330365,0.13280290429709118
Cameroon,36-47,2026,33.606783919598,-0.18216080402010051,0.45587360343310757
Cameroon,36-47,2028,33.2424623115578,-0.18216080402010051,0.45587360343310757
Cameroon,48+ months,2026,20.920480854853167,-0.27497773820124666,0.8154530448145997
Cameroon,48+ months,2028,20.370525378450566,-0.27497773820124666,0.8154530448145997
Cameroon,48-59,2026,27.03052763819096,-0.2947236180904521,0.4065870500956733
Cameroon,48-59,2028,26.441080402010016,-0.2947236180904521,0.4065870500956733
Cameroon,6-8,2026,21.860819234194082,0.2130008904719502,0.18508359852110468
Cameroon,6-8,2028,22.286821015138003,0.2130008904719502,0.18508359852110468
Cameroon,9-11,2026,12.299554764024947,-0.3157613535173642,0.5948835190588586
Cameroon,9-11,2028,11.668032056990228,-0.3157613535173642,0.5948835190588586
Cameroon,<6,2026,18.418521816562702,0.2656723063223509,0.7409865625060703
Cameroon,<6,2028,18.949866429207418,0.2656723063223509,0.7409865625060703
Cameroon,Average or larger,2026,28.614514692787196,-0.12617987533392694,0.2307652082449333
Cameroon,Average or larger,2028,28.362154942119332,-0.12617987533392694,0.2307652082449333
Cameroon,Female,2026,27.364203027604617,-0.15721282279608187,0.33836308502558354
Cameroon,Female,2028,27.049777382012508,-0.15721282279608187,0.33836308502558354
Cameroon,First birth,2026,23.72039180765796,-0.29813000890471947,0.27886437845752277
Cameroon,First birth,2028,23.124131789848548,-0.29813000890471947,0.27886437845752277
Cameroon,Fourth,2026,19.300356188780142,-0.3073909171861087,0.4735422376501459
Cameroon,Fourth,2028,18.68557435440789,-0.3073909171861087,0.4735422376501459
Cameroon,Higher,2026,5.334798994974875,-0.10201005025125626,0.17861382383615976
Cameroon,Higher,2028,5.130778894472371,-0.10201005025125626,0.17861382383615976
Cameroon,Highest,2026,8.01478183437223,-0.3067230632235085,0.49594310250827234
Cameroon,Highest,2028,7.401335707925227,-0.3067230632235085,0.49594310250827234
Cameroon,Interviewed,2026,30.203561887800532,-0.12390917186108641,0.19986045281639497
Cameroon,Interviewed,2028,29.95574354407836,-0.12390917186108641,0.19986045281639497
Cameroon,Less than 24 months,2026,43.051113089937644,0.23940338379341056,0.3476858239674717
Cameroon,Less than 24 months,2028,43.529919857524476,0.23940338379341056,0.3476858239674717
Cameroon,Lowest,2026,45.522885129118436,0.10013357079252012,0.07995469740551542
Cameroon,Lowest,2028,45.72315227070345,0.10013357079252012,0.07995469740551542
Cameroon,Male,2026,32.882902938557436,-0.09523597506678534,0.08198895221277036
Cameroon,Male,2028,32.692430988423865,-0.09523597506678534,0.08198895221277036
Cameroon,Middle,2026,24.365449688335048,-0.5330810329474621,0.8686854135449213
Cameroon,Middle,2028,23.299287622440033,-0.5330810329474621,0.8686854135449213
Cameroon,No education,2026,41.625467497773855,-0.07845057880676748,0.08390792755707521
Cameroon,No education,2028,41.46856634016032,-0.07845057880676748,0.08390792755707521
Cameroon,No education or primary,2026,37.24879786286732,-0.01255565449688322,0.0041295714580382725
Cameroon,No education or primary,2028,37.223686553873556,-0.01255565449688322,0.0041295714580382725
Cameroon,Normal (BMI 18.5-24.9),2026,31.739933259176894,-0.22246941045606217,0.9316139466334284
Cameroon,Normal (BMI 18.5-24.9),2028,31.29499443826478,-0.22246941045606217,0.9316139466334284
Cameroon,Not interviewed and not in household,2026,23.6547619047617,-0.6785714285714285,0.7263386629466677
Cameroon,Not interviewed and not in household,2028,22.297619047619037,-0.6785714285714285,0.7263386629466677
Cameroon,Not interviewed but in household,2026,20.076190476190504,-0.35714285714285715,0.26027207107162686
Cameroon,Not interviewed but in household,2028,19.361904761904725,-0.35714285714285715,0.26027207107162686
Cameroon,Overweight/ obese (BMI >= 25.0),2026,14.32725250278088,-0.4916573971078976,0.8874247366942627
Cameroon,Overweight/ obese (BMI >= 25.0),2028,13.343937708565136,-0.4916573971078976,0.8874247366942627
