rank,region,subregion,year,predicted_stunting,predicted_band,cluster,cluster_label,forecast_2026,forecast_2028
1,North,North,2018,40.79162499999991,high,0,Northern-rural (critical risk),41.56553873552983,41.54568121104185
2,Far North,Far North,2018,39.39849999999987,high,0,Northern-rural (critical risk),40.10632235084595,40.04394479073909
3,Adamawa,Adamawa,2018,39.27299999999989,high,0,Northern-rural (critical risk),37.3540071237756,37.137711487088154
4,East,East,2018,34.34725000000006,high,0,Northern-rural (critical risk),34.218076580587706,34.26789848619768
5,South,South,2018,27.263562500000013,medium,1,Urban-affluent (low risk),27.782502226179872,27.433659839715062
6,Northwest,Northwest,2018,23.737812500000004,medium,1,Urban-affluent (low risk),28.949287622439897,28.628851291184333
7,West,West,2018,21.49381250000001,medium,1,Urban-affluent (low risk),26.788824577025878,26.427604630454198
8,Centre,Centre,2018,21.010250000000013,low,1,Urban-affluent (low risk),17.974888691006242,17.51700801424755
9,Southwest,Southwest,2018,20.908624999999997,medium,1,Urban-affluent (low risk),27.314292074799653,26.896170970614435
10,Littoral,Littoral,2018,18.097312500000008,low,1,Urban-affluent (low risk),15.773397150489814,15.189915405164811
