name,rmse,mae,r2,cv_rmse_mean,cv_rmse_std
Random Forest,3.5054916664971123,2.5722716346153898,0.9130494986032673,3.641209168787193,0.1059947033386448
XGBoost,3.4155745476996664,2.5850189502422625,0.9174529134183171,3.6688405375754605,0.14573721218002958
Gradient Boosting,3.5590228292056536,2.6089478133335984,0.910373639699072,3.709419432205047,0.09213849278806274
LightGBM,3.5749910473949216,2.75030842039906,0.9095675848024107,3.7828932046977313,0.16733144917746398
Ridge,3.93902652517561,3.0035802195554386,0.8902127205466093,3.9233797792724845,0.17424192992300858
Linear Regression,3.9359870330467746,3.004657435640481,0.8903820866695286,3.9248519546615306,0.17472096295905
Lasso,4.091609527707438,3.00037782998592,0.8815424966324278,3.996950849254939,0.19293431116706808
K-Nearest Neighbours,4.245879164763172,2.9262877747252745,0.8724414795745196,4.212887742982567,0.37665962988029783
Decision Tree,4.649242583534567,3.3293740831693635,0.847053822780081,4.6089352245508355,0.11014589715926357
Baseline (mean),11.888347786821338,9.745921262481508,-3.964195210648391e-05,12.715295764828378,0.8400382514919216
