region,subregion,slope_pp_per_year,intercept,r2,last_observed,last_year
Adamawa,Adamawa,-0.10814781834372235,256.46148708815707,0.27318120918979505,36.55,2018
Adamawa,Djerem,-0.7792262382124389,1604.1241392660602,0.9729399598471615,22.6,2030
Adamawa,Faro-et-Deo,-0.8320148854621622,1707.5309497281394,0.9913789722820275,19.9,2030
Adamawa,Mayo-Banyo,-0.8616247841933627,1767.7914061001343,0.9864238816765808,21.2,2030
Adamawa,Mbere,-0.7412169130285323,1527.4029907184602,0.9088042153728945,25.8,2030
Adamawa,Vina,-0.7789010233492872,1603.489346061295,0.926964085297936,18.1,2030
Cameroon,12-17,-0.14296527159394484,317.6195903829031,0.05942082001244686,28.4,2018
Cameroon,18-23,-0.08851291184327692,224.19528049866426,0.03793628594869658,45.4,2018
Cameroon,24-35,-0.4715048975957259,987.984416740873,0.6610931901944523,32.9,2018
Cameroon,24-47 months,-0.119100623330365,273.0252894033836,0.13280290429709118,29.5,2018
Cameroon,36-47,-0.18216080402010051,402.66457286432166,0.45587360343310757,32.6,2018
Cameroon,48+ months,-0.27497773820124666,578.0253784505788,0.8154530448145997,22.1,2018
Cameroon,48-59,-0.2947236180904521,624.140577889447,0.4065870500956733,25.0,2018
Cameroon,6-8,0.2130008904719502,-409.678984861977,0.18508359852110468,23.0,2018
Cameroon,9-11,-0.3157613535173642,652.0320569902048,0.5948835190588586,13.5,2018
Cameroon,<6,0.2656723063223509,-519.8335707925202,0.7409865625060703,18.0,2018
Cameroon,Average or larger,-0.12617987533392694,284.2549421193232,0.2307652082449333,28.2,2018
Cameroon,Female,-0.15721282279608187,345.8773820124665,0.33836308502558354,26.6,2018
Cameroon,First birth,-0.29813000890471947,627.7317898486197,0.27886437845752277,25.6,2018
Cameroon,Fourth,-0.3073909171861087,642.0743544078364,0.4735422376501459,20.2,2018
Cameroon,Higher,-0.10201005025125626,212.00716080402006,0.17861382383615976,7.6,2018
Cameroon,Highest,-0.3067230632235085,629.4357079252005,0.49594310250827234,9.1,2018
Cameroon,Interviewed,-0.12390917186108641,281.2435440783616,0.19986045281639497,29.3,2018
Cameroon,Less than 24 months,0.23940338379341056,-441.98014247551214,0.3476858239674717,38.9,2018
